objectid,filename,title,creator,date,description,subject,location,,format original,format,type,identifier,language,rights,rightsstatement
Pawpaw11,DSC01623.JPG,Soccer with CFC,Winston 'Butch' Edwards,2015,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0916,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw12,DSC02051.JPG,Karaoke 1,Winston 'Butch' Edwards,2014,,Dylan; Karaoke,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0917,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw13,DSC02052.JPG,Karaoke 2,Winston 'Butch' Edwards,2014,,Dylan; Karaoke,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0918,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw14,DSC02712.JPG,Backyard Ball 1,Winston 'Butch' Edwards,2013,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0919,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw15,DSC02733.JPG,Backyard Ball 2,Winston 'Butch' Edwards,2013,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0920,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw16,DSC03897.JPG,Long Pass,Winston 'Butch' Edwards,2017,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0921,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw17,DSC04360.JPG,Camel Ride,Winston 'Butch' Edwards,2014,,Dylan; Outdoors; Animal,,Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0922,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw18,DSC04621.JPG,Tree Time,Winston 'Butch' Edwards,2013,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0923,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw19,DSC04641.JPG,Flower Face,Winston 'Butch' Edwards,2013,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0924,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw20,DSC05071.JPG,Sleeping with Nugget,Winston 'Butch' Edwards,2020,,Dylan; Animal,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0925,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw21,DSC05139.JPG,Sideline Sass,Winston 'Butch' Edwards,2015,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0926,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw22,DSC05141.JPG,1 V 4,Winston 'Butch' Edwards,2015,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0927,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw23,DSC05661.JPG,Exhaustion,Winston 'Butch' Edwards,2014,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0928,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw24,DSC05759.JPG,Rodeo 1,Winston 'Butch' Edwards,2014,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0929,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw25,DSC05762.JPG,Rodeo 2,Winston 'Butch' Edwards,2014,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0930,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw26,DSC07992.JPG,Elementary Graduation,Winston 'Butch' Edwards,2014,,Dylan; Graduation,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0931,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw27,DSC08070.JPG,Pawpaw and Bibby with Dylan at her 5th Grade Graduation,Winston 'Butch' Edwards,2014,,Dylan; Graduation,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0932,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw28,DSC08088.JPG,Graduation Celebration,Winston 'Butch' Edwards,2014,,Dylan; Graduation,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0933,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw29,DSC08374.JPG,Zoo Statue,Winston 'Butch' Edwards,2013,,Dylan,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0934,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw30,DSC08734.JPG,Christmas Portrait,Winston 'Butch' Edwards,2015,,Dylan,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0935,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw31,DSC08789.JPG,Christmas Morning PJs,Winston 'Butch' Edwards,2015,,Dylan,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0936,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw32,DSC09940.JPG,Karaoke 3,Winston 'Butch' Edwards,2016,,Dylan; Karaoke,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0937,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw33,DSC09972.JPG,Karaoke 4,Winston 'Butch' Edwards,2016,,Dylan; Karaoke,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0938,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw34,DSCF0001.JPG,Monkey Bars,Winston 'Butch' Edwards,2011,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0939,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw35,DSCF0005.JPG,Sledding,Winston 'Butch' Edwards,2011,,Dylan; Outdoors; Snow,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0940,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw36,DSCF0007.JPG,Geodome,Winston 'Butch' Edwards,2011,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0941,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw37,DSCF0020.JPG,Purple People Eaters 1,Winston 'Butch' Edwards,2012,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0942,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw38,DSCF0024.JPG,Hanging Around,Winston 'Butch' Edwards,2012,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0943,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw39,DSCF0032.JPG,Swim Goggles,Winston 'Butch' Edwards,2010,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0944,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw40,DSCF0036.JPG,Scoop Ball,Winston 'Butch' Edwards,2010,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0945,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw41,DSCF0048.JPG,Peek-a-Boo,Winston 'Butch' Edwards,2010,,Dylan,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0946,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw42,DSCF0064.JPG,Static Hair,Winston 'Butch' Edwards,2011,,Dylan;Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0947,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw43,DSCF0070 (2).JPG,Lookouts Game,Winston 'Butch' Edwards,2011,,Dylan; Stadium; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0948,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw44,DSCF0085.JPG,Sisters,Winston 'Butch' Edwards,2010,,Dylan; Outdoors; Lex,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0949,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw45,DSCF0088.JPG,Cat,Winston 'Butch' Edwards,2011,,Dylan; Outdoors; Animal,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0950,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw46,DSCF0118.JPG,Backyard,Winston 'Butch' Edwards,2011,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0951,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw47,DSCF0147.JPG,Soccer Action Shot,Winston 'Butch' Edwards,2010,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0952,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw48,DSCF0226.JPG,Swingset Portrait,Winston 'Butch' Edwards,2011,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0953,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw49,DSCF0345.JPG,Surfing the Big Slide 1,Winston 'Butch' Edwards,2011,,"Dylan, Outdoors","Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0954,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw50,DSCF0431.JPG,Purple People Eaters 2,Winston 'Butch' Edwards,2012,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0955,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw51,DSCF0521.JPG,Surfing the Big Slide 2,Winston 'Butch' Edwards,2011,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0956,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw52,DSCF0595.JPG,Pumpkin Patch Park,Winston 'Butch' Edwards,2011,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0957,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw53,DSCF2093.JPG,Amateur Photographer,Winston 'Butch' Edwards,2014,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0958,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw54,Dylan @ CFC Match 07.17.2011.JPG,Portrait at a CFC Match,Winston 'Butch' Edwards,2010,,Dylan; Stadium; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0959,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw55,fsfsdfr.JPG,Surfin',Winston 'Butch' Edwards,2012,,Dylan; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0960,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
Pawpaw56,One V. One.JPG,1 V 1,Winston 'Butch' Edwards,2010,,Dylan; Soccer; Outdoors,"Chattanoga, TN",Winston 'Butch' Edwards,Color Photograph,image/jpeg,Image;StillImage,89-0961,eng,"This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. In addition, no permission is required from the rights-holder(s) for non-commercial uses. For other uses you need to obtain permission from the rights-holder(s).",https://rightsstatements.org/page/InC-NC/1.0/?language=en
